SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22025,1610612738,BOS,Boston Celtics,0022500146,2025-11-01,BOS vs. HOU,L,240,101,40,103,0.388,14,44,0.318,7,7,1.0,14,22,36,24,9,2,10,25,-27.0
22025,1610612738,BOS,Boston Celtics,0022500021,2025-10-31,BOS @ PHI,W,240,109,44,101,0.436,14,45,0.311,7,12,0.583,16,29,45,26,8,7,9,24,1.0
22025,1610612738,BOS,Boston Celtics,0022500128,2025-10-29,BOS vs. CLE,W,240,125,42,95,0.442,21,57,0.368,20,24,0.833,18,35,53,29,11,3,9,19,20.0
22025,1610612738,BOS,Boston Celtics,0022500117,2025-10-27,BOS @ NOP,W,239,122,46,95,0.484,18,53,0.34,12,15,0.8,16,38,54,25,5,7,11,24,32.0
22025,1610612738,BOS,Boston Celtics,0022500106,2025-10-26,BOS @ DET,L,238,113,40,94,0.426,15,45,0.333,18,24,0.75,12,26,38,17,11,8,12,26,-6.0
22025,1610612738,BOS,Boston Celtics,0022500018,2025-10-24,BOS @ NYK,L,240,95,35,82,0.427,15,44,0.341,10,15,0.667,8,29,37,19,10,7,15,25,-10.0
22025,1610612738,BOS,Boston Celtics,0022500083,2025-10-22,BOS vs. PHI,L,239,116,41,91,0.451,11,43,0.256,23,26,0.885,10,32,42,16,7,4,11,28,-1.0
12025,1610612738,BOS,Boston Celtics,0012500062,2025-10-15,BOS vs. TOR,W,241,110,36,93,0.387,15,52,0.288,23,27,0.852,16,41,57,24,10,12,18,20,2.0
12025,1610612738,BOS,Boston Celtics,0012500050,2025-10-12,BOS vs. CLE,W,240,138,43,82,0.524,18,45,0.4,34,39,0.872,12,39,51,27,13,6,21,30,31.0
12025,1610612738,BOS,Boston Celtics,0012500044,2025-10-10,BOS @ TOR,L,241,105,38,83,0.458,10,38,0.263,19,21,0.905,19,35,54,22,9,4,28,25,-2.0
12025,1610612738,BOS,Boston Celtics,0012500038,2025-10-08,BOS @ MEM,W,238,121,41,94,0.436,15,53,0.283,24,34,0.706,16,33,49,26,13,11,13,31,18.0
